egg_uid,analysis_group,dt_motion_stop_h,flags,death_mode
371,400-SHG-15mW-10s,203.2,exit_egg,apoptotic_like
372,400-SHG-15mW-10s,3.1999999999999993,exit_egg,apoptotic_like
373,400-SHG-15mW-10s,86.2,exit_egg,apoptotic_like
374,400-SHG-15mW-10s,223.2,exit_egg,apoptotic_like
375,400-SHG-15mW-10s,3.1999999999999993,exit_egg,apoptotic_like
376,400-SHG-15mW-10s,3.1999999999999993,exit_egg,apoptotic_like
377,400-SHG-15mW-10s,210.2,,apoptotic_like
630,UVC-6W-300s,149.5,terminal_twitching,necrotic_like
631,UVC-6W-300s,0.0,terminal_twitching,necrotic_like
632,UVC-6W-300s,110.5,terminal_twitching,necrotic_like
633,UVC-6W-300s,149.5,terminal_twitching,necrotic_like
634,UVC-6W-300s,99.5,terminal_twitching,necrotic_like
635,UVC-6W-300s,76.5,terminal_twitching,necrotic_like
636,UVC-6W-300s,127.5,terminal_twitching,necrotic_like
637,UVC-6W-300s,101.5,terminal_twitching,necrotic_like
638,UVC-6W-300s,64.5,terminal_twitching,necrotic_like
639,UVC-6W-300s,0.0,terminal_twitching,necrotic_like
640,UVC-6W-300s,52.5,terminal_twitching,necrotic_like
641,UVC-6W-300s,112.5,terminal_twitching,necrotic_like
642,UVC-6W-300s,149.5,terminal_twitching,necrotic_like
643,UVC-6W-300s,113.5,terminal_twitching,necrotic_like
644,UVC-6W-300s,109.5,terminal_twitching,necrotic_like
645,UVC-6W-300s,44.5,terminal_twitching,necrotic_like
646,UVC-6W-300s,87.5,terminal_twitching,necrotic_like
647,UVC-6W-300s,52.5,terminal_twitching,necrotic_like
648,UVC-6W-300s,92.5,terminal_twitching,necrotic_like
649,UVC-6W-300s,127.5,terminal_twitching,necrotic_like
650,UVC-6W-300s,129.5,terminal_twitching,necrotic_like
651,UVC-6W-300s,114.5,terminal_twitching,necrotic_like
652,UVC-6W-300s,66.5,terminal_twitching,necrotic_like
653,UVC-6W-300s,81.5,terminal_twitching,necrotic_like
654,UVC-6W-300s,42.5,terminal_twitching,necrotic_like
655,UVC-6W-300s,84.5,terminal_twitching,necrotic_like
656,UVC-6W-300s,129.5,terminal_twitching,necrotic_like
657,UVC-6W-300s,95.5,terminal_twitching,necrotic_like
658,UVC-6W-300s,99.5,terminal_twitching,necrotic_like
659,UVC-6W-300s,80.5,terminal_twitching,necrotic_like
660,UVC-6W-300s,46.5,terminal_twitching,necrotic_like
661,UVC-6W-300s,99.5,terminal_twitching,necrotic_like
662,UVC-6W-300s,92.5,terminal_twitching,necrotic_like
663,UVC-6W-300s,216.5,terminal_twitching,necrotic_like
664,UVC-6W-300s,95.5,terminal_twitching,necrotic_like
665,UVC-6W-180s,99.8,terminal_twitching;exit_egg,necrotic_like
666,UVC-6W-180s,169.8,terminal_twitching;exit_egg,necrotic_like
667,UVC-6W-180s,127.8,terminal_twitching;exit_egg,necrotic_like
668,UVC-6W-180s,202.8,terminal_twitching,necrotic_like
669,UVC-6W-180s,159.8,terminal_twitching,necrotic_like
670,UVC-6W-180s,142.8,,necrotic_like
671,UVC-6W-180s,156.8,terminal_twitching,necrotic_like
672,UVC-6W-180s,135.8,terminal_twitching,necrotic_like
673,UVC-6W-180s,156.8,terminal_twitching,necrotic_like
675,UVC-6W-180s,130.8,terminal_twitching,necrotic_like
676,UVC-6W-180s,180.8,terminal_twitching,necrotic_like
677,UVC-6W-180s,179.8,terminal_twitching,necrotic_like
678,UVC-6W-180s,149.8,terminal_twitching,necrotic_like
679,UVC-6W-180s,122.8,terminal_twitching,necrotic_like
680,UVC-6W-180s,123.8,terminal_twitching,necrotic_like
681,UVC-6W-180s,137.8,terminal_twitching,necrotic_like
682,UVC-6W-180s,185.8,terminal_twitching,necrotic_like
683,UVC-6W-180s,194.8,terminal_twitching,necrotic_like
684,UVC-6W-180s,179.8,terminal_twitching,necrotic_like
685,UVC-6W-180s,169.8,terminal_twitching,necrotic_like
686,UVC-6W-180s,125.8,terminal_twitching,necrotic_like
687,UVC-6W-180s,179.8,terminal_twitching;exit_egg,necrotic_like
688,UVC-6W-180s,133.8,terminal_twitching;exit_egg,necrotic_like
689,UVC-6W-180s,157.8,terminal_twitching,necrotic_like
690,UVC-6W-180s,155.8,terminal_twitching,necrotic_like
691,UVC-6W-180s,175.8,terminal_twitching,necrotic_like
692,UVC-6W-180s,129.8,terminal_twitching;exit_egg,necrotic_like
693,UVC-6W-180s,147.8,terminal_twitching;exit_egg,necrotic_like
694,UVC-6W-180s,88.8,terminal_twitching,necrotic_like
695,UVC-6W-180s,139.8,terminal_twitching,necrotic_like
696,UVC-6W-180s,99.8,terminal_twitching;exit_egg,necrotic_like
697,UVC-6W-180s,98.8,terminal_twitching;exit_egg,necrotic_like
698,UVC-6W-180s,169.8,terminal_twitching,necrotic_like
699,UVC-6W-180s,119.8,terminal_twitching,necrotic_like
700,UVC-6W-180s,134.8,terminal_twitching,necrotic_like
701,UVC-6W-120s,127.9,,necrotic_like
702,UVC-6W-120s,161.9,,necrotic_like
703,UVC-6W-120s,234.9,,necrotic_like
704,UVC-6W-120s,149.9,,necrotic_like
705,UVC-6W-120s,233.9,,necrotic_like
706,UVC-6W-120s,224.9,,necrotic_like
707,UVC-6W-120s,149.9,,necrotic_like
708,UVC-6W-120s,184.9,,necrotic_like
709,UVC-6W-120s,244.9,,necrotic_like
710,UVC-6W-120s,139.9,,necrotic_like
711,UVC-6W-120s,108.9,,necrotic_like
712,UVC-6W-120s,36.9,,necrotic_like
713,UVC-6W-120s,174.9,,necrotic_like
714,UVC-6W-120s,114.9,,necrotic_like
715,UVC-6W-120s,157.9,,necrotic_like
716,UVC-6W-120s,143.9,,necrotic_like
717,UVC-6W-120s,199.9,,necrotic_like
718,UVC-6W-120s,179.9,,necrotic_like
719,UVC-6W-120s,179.9,,necrotic_like
720,UVC-6W-120s,111.9,,necrotic_like
721,UVC-6W-120s,174.9,,necrotic_like
722,UVC-6W-120s,199.9,,necrotic_like
723,UVC-6W-120s,137.9,,necrotic_like
724,UVC-6W-120s,113.9,,necrotic_like
725,UVC-6W-120s,174.9,,necrotic_like
726,UVC-6W-120s,154.9,,necrotic_like
727,UVC-6W-120s,214.9,,necrotic_like
728,UVC-6W-120s,134.9,,necrotic_like
729,UVC-6W-120s,199.9,,necrotic_like
730,UVC-6W-120s,202.9,,necrotic_like
731,UVC-6W-120s,164.9,,necrotic_like
732,UVC-6W-120s,202.9,,necrotic_like
733,UVC-6W-120s,189.9,,necrotic_like
734,UVC-6W-120s,55.9,,necrotic_like
735,UVC-6W-120s,74.9,,necrotic_like
736,UVC-6W-120s,184.9,,necrotic_like
737,UVC-6W-60s,284.5,,necrotic_like
738,UVC-6W-60s,234.5,,necrotic_like
739,UVC-6W-60s,289.5,,necrotic_like
740,UVC-6W-60s,174.5,,necrotic_like
742,UVC-6W-60s,211.5,exit_egg,necrotic_like
743,UVC-6W-60s,296.5,,necrotic_like
744,UVC-6W-60s,116.5,,necrotic_like
745,UVC-6W-60s,295.5,,necrotic_like
746,UVC-6W-60s,267.5,,necrotic_like
748,UVC-6W-60s,77.5,,necrotic_like
749,UVC-6W-60s,255.5,,necrotic_like
750,UVC-6W-60s,19.5,,necrotic_like
751,UVC-6W-60s,249.5,,necrotic_like
752,UVC-6W-60s,265.5,,necrotic_like
753,UVC-6W-60s,309.5,,necrotic_like
754,UVC-6W-60s,284.5,,necrotic_like
755,UVC-6W-60s,293.5,,necrotic_like
756,UVC-6W-60s,276.5,,necrotic_like
757,UVC-6W-60s,314.5,,necrotic_like
758,UVC-6W-60s,282.5,,necrotic_like
759,UVC-6W-60s,329.5,,necrotic_like
760,UVC-6W-60s,241.5,,necrotic_like
761,UVC-6W-60s,249.5,,necrotic_like
762,UVC-6W-60s,289.5,,necrotic_like
763,UVC-6W-60s,299.5,,necrotic_like
764,UVC-6W-60s,224.5,,necrotic_like
765,UVC-6W-60s,289.5,,necrotic_like
767,UVC-6W-60s,235.5,,necrotic_like
768,UVC-6W-60s,314.5,,necrotic_like
769,UVC-6W-60s,318.5,,necrotic_like
770,UVC-6W-60s,268.5,,necrotic_like
771,UVC-6W-60s,259.5,,necrotic_like
772,UVC-6W-60s,239.5,,necrotic_like
773,UVC-6W-30s,289.5,,necrotic_like
774,UVC-6W-30s,286.5,,necrotic_like
775,UVC-6W-30s,289.5,,necrotic_like
776,UVC-6W-30s,329.5,exit_egg,necrotic_like
777,UVC-6W-30s,108.5,,necrotic_like
778,UVC-6W-30s,177.5,,necrotic_like
779,UVC-6W-30s,329.5,,necrotic_like
780,UVC-6W-30s,439.5,,necrotic_like
781,UVC-6W-30s,476.5,,necrotic_like
782,UVC-6W-30s,299.5,,necrotic_like
783,UVC-6W-30s,265.5,exit_egg,necrotic_like
784,UVC-6W-30s,391.5,,necrotic_like
785,UVC-6W-30s,363.5,,necrotic_like
786,UVC-6W-30s,408.5,,necrotic_like
787,UVC-6W-30s,251.5,,necrotic_like
788,UVC-6W-30s,313.5,,necrotic_like
789,UVC-6W-30s,317.5,,necrotic_like
790,UVC-6W-30s,410.5,,necrotic_like
791,UVC-6W-30s,374.5,,necrotic_like
792,UVC-6W-30s,165.5,,necrotic_like
793,UVC-6W-30s,219.5,,necrotic_like
794,UVC-6W-30s,105.5,,necrotic_like
795,UVC-6W-30s,231.5,,necrotic_like
796,UVC-6W-30s,413.5,,necrotic_like
797,UVC-6W-30s,216.5,,necrotic_like
798,UVC-6W-30s,241.5,,necrotic_like
799,UVC-6W-30s,283.5,,necrotic_like
800,UVC-6W-30s,282.5,,necrotic_like
801,UVC-6W-30s,362.5,,necrotic_like
802,UVC-6W-30s,129.5,,necrotic_like
803,UVC-6W-30s,276.5,,necrotic_like
804,UVC-6W-30s,221.5,,necrotic_like
805,UVC-6W-30s,129.5,,necrotic_like
806,UVC-6W-30s,289.5,,necrotic_like
807,UVC-6W-30s,269.5,,necrotic_like
808,UVC-6W-30s,273.5,,necrotic_like
810,UVC-6W-30s,180.5,,necrotic_like
